pair_id,category,split,lost_image,found_image,positive_caption,hard_negative_caption
lunchbox_024,Lunchboxes,train,lost_lunchbox_24.jpg,found_lunchbox_24.jpg,"Black Harry Potter Golden Snitch round plastic lunchbox, glossy black lid with Golden Snitch graphic, gold/tan plastic lower tier, black side clip latches","Black Harry Potter Golden Snitch round plastic lunchbox, matte black lid with Golden Snitch graphic, gold/tan plastic lower tier, black side clip latches"
lunchbox_025,Lunchboxes,train,lost_lunchbox_25.jpg,found_lunchbox_25.jpg,"Pink and white Sanrio Hello Kitty three-tier round stacking lunchbox, white cat face lid with pink bow on top, pink illustrated body with pastel animal graphics","Pink and white Sanrio Hello Kitty three-tier round stacking lunchbox, white cat face lid with pink bow on top, pink illustrated body with solid unprinted panels"
lunchbox_026,Lunchboxes,train,lost_lunchbox_26.png,found_lunchbox_26.png,"Pink Bollie kids bento lunch box, near-square compact body, fairy-and-unicorn illustration on lid, purple front push-button latch closure.","Pink Bollie kids bento lunch box, wide rectangular body, fairy-and-unicorn illustration on lid, purple front push-button latch closure."
lunchbox_027,Lunchboxes,train,lost_lunchbox_27.jpg,found_lunchbox_27.jpg,"Matte black Tiger cylindrical carry case lunchbox, textured hard plastic exterior, chrome metal seam band around the middle, rounded square silhouette, shoulder strap with metal clip hardware","Matte black Tiger cylindrical carry case lunchbox, smooth hard plastic exterior, chrome metal seam band around the middle, rounded square silhouette, shoulder strap with metal clip hardware"
lunchbox_028,Lunchboxes,train,lost_lunchbox_28.jpg,found_lunchbox_28.jpg,"White and yellow ""Panda Lunch"" plastic rectangular lunchbox, illustrated panda scene lid with blue sky and yellow ground, yellow ribbed plastic lower body","White and yellow ""Panda Lunch"" plastic rectangular lunchbox, illustrated panda scene lid with blue sky and yellow ground, smooth unribbed yellow plastic lower body"
lunchbox_029,Lunchboxes,train,lost_lunchbox_29.png,found_lunchbox_29.png,"Clear transparent ""bento box"" plastic square lunchbox, blue carry handle on top, ""bento box"" product label sticker on lid","Clear transparent ""bento box"" plastic square lunchbox, white carry handle on top, ""bento box"" product label sticker on lid"
lunchbox_030,Lunchboxes,train,lost_lunchbox_30.png,found_lunchbox_30.png,"White plastic rectangular lunchbox, clear transparent lid showing divided inner tray, circular vent button on lid, white side clip latches, rounded corners","White plastic rectangular lunchbox, clear transparent lid showing divided inner tray, circular vent button on lid, white side clip latches, sharp square corners"
lunchbox_031,Lunchboxes,train,lost_lunchbox_31.png,found_lunchbox_31.png,"Smoke-grey ""HEALTHY / HEALTHY LIFE"" oval lunch box, semi-transparent matte plastic lid, stainless steel inner tray, olive-green side latch clips and small oval top button","Smoke-grey ""HEALTHY / HEALTHY LIFE"" oval lunch box, semi-transparent matte plastic lid, stainless steel inner tray, silver metallic side latch clips and small oval top button"
lunchbox_032,Lunchboxes,train,lost_lunchbox_32.png,found_lunchbox_32.png,"Beige/cream rectangular lunch box, 750 ml, clear glossy plastic lid, wheat-straw matte body with ribbed texture, snap-tab closure on short end","Beige/cream rectangular lunch box, 750 ml, clear glossy plastic lid, wheat-straw matte body with ribbed texture, hinged flip-top closure on short end"
lunchbox_033,Lunchboxes,train,lost_lunchbox_33.png,found_lunchbox_33.png,"Teal matte plastic oval lunch box, 850 ml, ""LUNCH BOX enjoy the delicacy"" white print on lid, orange accent clips on both short ends, fully rounded pill-shaped silhouette","Teal matte plastic oval lunch box, 850 ml, ""LUNCH BOX enjoy the delicacy"" white print on lid, orange accent clips on both short ends, slightly flattened rectangular silhouette with soft corners"
lunchbox_034,Lunchboxes,train,lost_lunchbox_34.png,found_lunchbox_34.png,"White square plastic lunch box, ""SUNNY"" text on cloud-shaped parachute illustration with sleeping bunny graphic, dark mauve/wine-red side latch clips, rounded square lid","White square plastic lunch box, ""SUNNY"" text on cloud-shaped parachute illustration with sleeping bunny graphic, dark mauve/wine-red side latch clips, circular lid"
lunchbox_035,Lunchboxes,train,lost_lunchbox_35.png,found_lunchbox_35.png,"White square plastic lunch box, ""PERFECT DAY"" hand-lettered text, peeking bunny graphic on lid, teal side latch clips, rounded square shape","White square plastic lunch box, ""PERFECT DAY"" hand-lettered text, peeking bunny graphic on lid, teal side latch clips, sharp-cornered square shape"
lunchbox_036,Lunchboxes,train,lost_lunchbox_36.png,found_lunchbox_36.png,"Pink ""Hello Kitty"" rectangular lunch box, glossy clear plastic lid over magenta printed interior, light pink frame body, small light pink circular vent button on lid","Pink ""Hello Kitty"" rectangular lunch box, glossy clear plastic lid over magenta printed interior, light pink frame body, small red circular vent button on lid"
lunchbox_037,Lunchboxes,val,lost_lunchbox_37.png,found_lunchbox_37.png,"Red ""Marvel Spider-Man"" rectangular lunch box, glossy blue clear plastic lid with Spider-Man graphic, red plastic frame body, red circular vent button on lid, side latch clips","Red ""Marvel Spider-Man"" rectangular lunch box, glossy blue clear plastic lid with Spider-Man graphic, red plastic frame body, red circular vent button on lid, hinged flip-top closure with no side latches"
lunchbox_038,Lunchboxes,val,lost_lunchbox_38.png,found_lunchbox_38.png,"Red ""Disney Cars / Lightning McQueen"" rectangular lunch box, glossy clear plastic lid with Cars racing graphic, red plastic body, small circular vent button on lid","Red ""Disney Cars / Lightning McQueen"" rectangular lunch box, glossy clear plastic lid with Cars racing graphic, red plastic body, no vent button on lid"
lunchbox_039,Lunchboxes,val,lost_lunchbox_39.png,found_lunchbox_39.png,"Pastel green apple-shaped lunch box, semi-transparent glossy plastic body with ""Love life"" bear character print, white top-mounted locking clip closure","Pastel green apple-shaped lunch box, semi-transparent glossy plastic body with ""Love life"" bear character print, white side snap-latch closure"
lunchbox_040,Lunchboxes,val,lost_lunchbox_40.png,found_lunchbox_40.png,"Pastel pink apple-shaped lunch box, transparent glossy lid with ""Love life"" bear character print, plastic body, white top-mounted locking clip closure","Pastel pink apple-shaped lunch box, matte textured lid with ""Love life"" bear character print, plastic body, white top-mounted locking clip closure"
lunchbox_041,Lunchboxes,val,lost_lunchbox_41.png,found_lunchbox_41.png,"Light blue-grey matte plastic rectangular lunch box, plain unprinted lid, recessed rectangular push-button vent on top, rounded corners","Light blue-grey matte plastic rectangular lunch box, plain unprinted lid, recessed rectangular push-button vent on top, sharp square corners"
lunchbox_042,Lunchboxes,test,lost_lunchbox_42.png,found_lunchbox_42.png,"Fully transparent clear glass rectangular food container, light blue silicone perimeter gasket rim, see-through lid with centered push-down vent valve, no side handles.","Fully transparent clear glass rectangular food container, red silicone perimeter gasket rim, see-through lid with centered push-down vent valve, no side handles"
lunchbox_043,Lunchboxes,val,lost_lunchbox_43.png,found_lunchbox_43.png,"Purple ""Kuromi"" rectangular lunch box, semi-transparent clear plastic lid over stainless steel inner tray, solid purple front panel with ""kuromi"" white text, four corner latch clips","Purple ""Kuromi"" rectangular lunch box, semi-transparent clear plastic lid over stainless steel inner tray, solid purple front panel with ""kuromi"" white text, two side latch clips "
lunchbox_044,Lunchboxes,val,lost_lunchbox_44.png,found_lunchbox_44.png,"Pink ""My Melody"" rectangular lunch box, semi-transparent clear plastic lid over stainless steel inner tray, solid pink front panel with ""MY MELODY"" white text, four corner latch clips","Pink ""My Melody"" rectangular lunch box, semi-transparent clear plastic lid over stainless steel inner tray, solid pink front panel with ""MY MELODY"" white text, magnetic snap closure, no corner latch clips"
lunchbox_045,Lunchboxes,val,lost_lunchbox_45.png,found_lunchbox_45.png,"Light blue ""Cinnamoroll"" rectangular lunch box, semi-transparent clear plastic lid over stainless steel inner tray, solid teal front panel with ""Cinnamoroll"" white text and yellow dot accents, four corner latch clips","Light blue ""Cinnamoroll"" rectangular lunch box, semi-transparent clear plastic lid over wooden inner tray, solid teal front panel with ""Cinnamoroll"" white text and yellow dot accents, four corner latch clips"
lunchbox_046,Lunchboxes,val,lost_lunchbox_46.png,found_lunchbox_46.png,"Pink ""Melody"" rectangular lunch box, glossy clear plastic lid over pink printed interior, light pink frame body, clear oval vent button on lid, two top hinge clips","Pink ""Melody"" rectangular lunch box, matte opaque plastic lid over pink printed interior, light pink frame body, clear oval vent button on lid, two top hinge clips"
lunchbox_047,Lunchboxes,test,lost_lunchbox_47.png,found_lunchbox_47.png,"Silver stainless steel three-tier round tiffin carrier, polished mirror finish, metal swing-arm locking clip on side, foldable carry handle on top","Silver stainless steel three-tier round tiffin carrier, brushed matte finish, metal swing-arm locking clip on side, foldable carry handle on top"
lunchbox_048,Lunchboxes,test,lost_lunchbox_48.png,found_lunchbox_48.png,"White and pink ""lucky!!! lucky!!!"" rectangular lunch box, clear plastic lid over stainless steel inner tray with peach graphic, pink oval vent button, pink side latch clips, rounded corners","White and pink ""lucky!!! lucky!!!"" rectangular lunch box, clear plastic lid over stainless steel inner tray with peach graphic, pink oval vent button, pink side latch clips, sharp square corners"
lunchbox_049,Lunchboxes,test,lost_lunchbox_49.png,found_lunchbox_49.png,"Yellow and olive-green ""DELICIOUS"" rectangular lunch box, clear plastic lid over stainless steel inner tray, yellow plastic frame, small circular vent on lid, side latch clips","Yellow and olive-green ""DELICIOUS"" rectangular lunch box, clear plastic lid over stainless steel inner tray, yellow plastic frame, small circular vent on lid, top hinged flip closure"
lunchbox_050,Lunchboxes,test,lost_lunchbox_50.png,found_lunchbox_50.png,"Light-grey rectangular lunch box, pale blue latch clips and flap compartment, white oval shaped vent button on lid","Light-grey rectangular lunch box, pale blue latch clips and flap compartment, white star shaped vent button on lid"
lunchbox_051,Lunchboxes,train,lost_lunchbox_51.png,found_lunchbox_51.png,"Pastel yellow ""HEALTHY / HEALTHY LIFE"" oval lunch box, cream matte plastic body, amber-yellow vertical front panel with white text, amber-yellow circular vent button on lid, side latch clips","Pastel yellow ""HEALTHY / HEALTHY LIFE"" oval lunch box, cream glossy plastic body, amber-yellow vertical front panel with white text, amber-yellow circular vent button on lid, side latch clips"
lunchbox_052,Lunchboxes,train,lost_lunchbox_52.png,found_lunchbox_52.png,"Khaki ""Bento"" two-tier stacked lunch box, gold embossed brand text on front, chrome metallic dividing band between tiers, rounded rectangular body.","Khaki ""Bento"" two-tier stacked lunch box, gold embossed brand text on front, matte black dividing band between tiers, rounded rectangular body."
lunchbox_053,Lunchboxes,val,lost_lunchbox_53.png,found_lunchbox_53.png,"White cylindrical multi-tier stackable lunch jar, ""FOOD Love Kitchen Life"" branding on body, grey accent ring bands between tiers, integrated top loop carry handle.","White rectangular multi-tier stackable lunch jar, ""FOOD Love Kitchen Life"" branding on body, grey accent ring bands between tiers, integrated top loop carry handle."
lunchbox_054,Lunchboxes,val,lost_lunchbox_54.png,found_lunchbox_54.png,"White and dark charcoal grey two-tone HUG electric lunch box, ""HUG"" logo on upper white panel, small grey push-button latch on front center, rounded square body.","White and dark charcoal grey two-tone HUG electric lunch box, ""HUG"" logo on upper white panel, small grey push-button latch on front center, sharp-cornered rectangular body."
lunchbox_055,Lunchboxes,train,lost_lunchbox_55.png,found_lunchbox_55.png,"White and blue plastic electric lunch box, four blue side-clip latches at corners, white integrated carry handle on top, circular steam vent on lid center.","White and blue plastic electric lunch box, blue zipper perimeter seal instead of clip latches, white integrated carry handle on top, circular steam vent on lid center."
lunchbox_056,Lunchboxes,val,lost_lunchbox_56.png,found_lunchbox_56.png,"Matte black two-tier rectangular bento box, natural bamboo wood lid, wide black elastic band securing the stack vertically, thin white seam line between tiers.","Matte black two-tier rectangular bento box, matte black plastic lid, wide black elastic band securing the stack vertically, thin white seam line between tiers."
lunchbox_057,Lunchboxes,train,lost_lunchbox_57.png,found_lunchbox_57.png,"Hot pink Quencha collapsible silicone lunch box, transparent clear-panel lid, teal ""quencha"" logo text on front, small round red valve on lid corner.","Hot pink Quencha collapsible silicone lunch box, fully opaque lid, teal ""quencha"" logo text on front, small round red valve on lid corner."
lunchbox_058,Lunchboxes,train,lost_lunchbox_58.png,found_lunchbox_58.png,"Dusty rose pink Roborobo lunch box, uniform matte plastic body, four side-clip latches at corners, small loop tab on top-right corner of lid.","Dusty rose pink Roborobo lunch box, uniform glossy plastic body, four side-clip latches at corners, small loop tab on top-right corner of lid."
lunchbox_059,Lunchboxes,test,lost_lunchbox_59.png,found_lunchbox_59.png,"Dark grey two-compartment lunch box, large frosted grey panel lid on left section, smaller white panel lid on right section, small red circular logo on left panel.","Dark grey two-compartment lunch box, large frosted grey panel lid on left section, smaller grey panel lid on right section, small red circular logo on left panel."
lunchbox_060,Lunchboxes,train,lost_lunchbox_60.png,found_lunchbox_60.png,"Light pink plastic lunch box, rounded rectangular body, integrated arched carry handle on top lid, four corner side-clip latches.","Light pink plastic lunch box, rounded rectangular body, flat flush-mount top handle, four corner side-clip latches."
lunchbox_061,Lunchboxes,train,lost_lunchbox_61.png,found_lunchbox_61.png,"Cream/off-white Lucky Lunch-Box insulated soup jar, cylindrical body with vertical ribbed screw-top lid, thin rose-gold accent ring separating lid from bowl","Cream/off-white Lucky Lunch-Box insulated soup jar, cylindrical body with smooth flat screw-top lid, thin rose-gold accent ring separating lid from bowl"
lunchbox_062,Lunchboxes,train,lost_lunchbox_62.png,found_lunchbox_62.png,"Off-white matte plastic cylindrical lunch box, ""LUNCH BOX"" text with small house illustrations printed on body, short vertical ridged tab on lid top","Off-white matte plastic cylindrical lunch box, ""LUNCH BOX"" text with small house illustrations printed on body, wide flat handle on lid top"
lunchbox_063,Lunchboxes,train,lost_lunchbox_63.png,found_lunchbox_63.png,"Yellow plastic kids lunch box, cartoon orange dinosaur ""dinosaur"" graphic on front, orange buckle latch closure on front, white accent trim along the split seam","Yellow plastic kids lunch box, cartoon orange dinosaur ""dinosaur"" graphic on front, blue buckle latch closure on front, white accent trim along the split seam"
lunchbox_064,Lunchboxes,val,lost_lunchbox_64.png,found_lunchbox_64.png,"Clear glass rectangular lunchbox, translucent plastic lid with blue-gray silicone seal, four black locking side clips, rounded corners","Clear glass rectangular lunchbox, translucent plastic lid with blue-gray silicone seal, four black locking side clips, sharp square corners"
lunchbox_065,Lunchboxes,train,lost_lunchbox_65.png,found_lunchbox_65.png,"Beige/sand collapsible stainless steel inner lunch box, rounded square silicone frame border, polished silver interior tray with small white tab handle","Beige/sand collapsible stainless steel inner lunch box, sharp square silicone frame border, polished silver interior tray with small white tab handle"
lunchbox_066,Lunchboxes,train,lost_lunchbox_66.png,found_lunchbox_66.png,"Muted teal/dark sage double-tier bento box, rounded rectangular matte plastic body, white seam dividing two equal tiers, grey elastic band strap around full perimeter","Muted teal/dark sage double-tier bento box, rounded rectangular matte plastic body, white seam dividing two equal tiers, black elastic band strap around full perimeter"
lunchbox_067,Lunchboxes,train,lost_lunchbox_67.png,found_lunchbox_67.png,"Clear frosted translucent plastic rectangular lunch box, snap-lock lid with geometric angular partition lines embossed on interior, rounded corners","Clear frosted translucent plastic rectangular lunch box, snap-lock lid with grid pattern partition lines embossed on interior, rounded corners"
lunchbox_068,Lunchboxes,test,lost_lunchbox_68.png,found_lunchbox_68.png,"All-white matte plastic rectangular lunchbox, smooth flat lid, two wide side-locking flip clips, rounded corners","All-white matte plastic rectangular lunchbox, smooth flat lid, two narrow pin-style side clips, rounded corners"
lunchbox_069,Lunchboxes,train,lost_lunchbox_69.png,found_lunchbox_69.png,"Light blue translucent plastic rectangular lunchbox, soft flexible lid with embossed ""YUMMY"" and ""LUNCH BOX"" text raised on surface, no clips, slightly rounded corners","Light blue translucent plastic rectangular lunchbox, smooth flat lid with no embossed text, no clips, slightly rounded corners"
lunchbox_070,Lunchboxes,train,lost_lunchbox_70.png,found_lunchbox_70.png,"Stainless steel rectangular bento tray, clear acrylic hinged lid, three separate steel compartments with rounded square wells, white plastic side-latch handles","Stainless steel rectangular bento tray, clear acrylic hinged lid, three separate steel compartments with rounded square wells, black plastic side-latch handles"
lunchbox_071,Lunchboxes,test,lost_lunchbox_71.png,found_lunchbox_71.png,"Brushed stainless steel rectangular lunch tray, no lid, three compartments — one large elongated section on the left, two smaller rectangular sections stacked on the right, rounded inner edges","Brushed stainless steel rectangular lunch tray, no lid, two equal-sized compartments side by side, rounded inner edges"
lunchbox_072,Lunchboxes,train,lost_lunchbox_72.png,found_lunchbox_72.png,"Cream/beige matte plastic rectangular lunchbox, ribbed lower front panel, smooth domed lid, two side snap-latch clips, rounded corners","Cream/beige matte plastic rectangular lunchbox, smooth lower front panel, smooth domed lid, two side snap-latch clips, rounded corners"
lunchbox_073,Lunchboxes,train,lost_lunchbox_73.png,found_lunchbox_73.png,"White and dark gray two-tier stackable rectangular lunchbox, smoky translucent plastic lid with a small oval button latch on top, gray rubber seal rim, gray accent stripe between tiers","White and dark gray two-tier stackable rectangular lunchbox, smoky translucent plastic lid with a small oval button latch on top, gray rubber seal rim, no accent stripe between tiers"
lunchbox_074,Lunchboxes,train,lost_lunchbox_74.png,found_lunchbox_74.png,"Mint green square plastic lunchbox, semi-transparent lid revealing interior dividers and a white spoon, two steel-blue side-locking flip clips","Mint green square plastic lunchbox, semi-transparent lid revealing interior dividers and a white spoon, two olive green side-locking flip clips"
lunchbox_075,Lunchboxes,test,lost_lunchbox_75.png,found_lunchbox_75.png,"Cream/beige matte plastic rectangular lunchbox, wave-embossed ridged lid surface, circular stainless steel vent/seal inset on top with daisy flower valve, brown side snap-latch clips","Cream/beige matte plastic rectangular lunchbox, smooth flat lid surface, circular stainless steel vent/seal inset on top with daisy flower valve, brown side snap-latch clips"
lunchbox_076,Lunchboxes,train,lost_lunchbox_76.png,found_lunchbox_76.png,"Hot pink translucent plastic rectangular lunchbox, smooth flexible lid, oval Sunnyware ""Sunny Lunch Box"" branded sticker centered on lid, no clips, slightly rounded corners","Hot pink translucent plastic rectangular lunchbox, smooth flexible lid, oval Sunnyware ""Sunny Lunch Box"" branded sticker centered on lid, no clips, sharp square corners"
lunchbox_077,Lunchboxes,train,lost_lunchbox_77.png,found_lunchbox_77.png,"Brushed stainless steel rectangular lunchbox, flat stainless steel lid, two silver wire bail-latch closures on both short sides, rounded corners, no branding","Brushed stainless steel rectangular lunchbox, flat stainless steel lid, two silver wire bail-latch closures on both short sides, sharp square corners, no branding"
lunchbox_078,Lunchboxes,train,lost_lunchbox_78.png,found_lunchbox_78.png,"White and navy blue square plastic lunchbox, clear frosted lid, large navy U-shaped carry handle centered on top, four navy side-locking clips, small round navy steam vent on lid, ""Fashion"" embossed on handle","White and navy blue square plastic lunchbox, clear frosted lid, large navy U-shaped carry handle centered on top, two navy side-locking clips, small round navy steam vent on lid, ""Fashion"" embossed on handle"
lunchbox_079,Lunchboxes,test,lost_lunchbox_79.png,found_lunchbox_79.png,"Steel blue matte plastic rectangular ""Bento box"" lunchbox, clear plastic windowed lid compartment housing a white spoon and fork set, recessed front latch tab, rounded corners","Steel blue matte plastic rectangular ""Bento box"" lunchbox, clear plastic windowed lid compartment housing a white spoon and fork set, recessed front latch tab, sharp square corners"
lunchbox_080,Lunchboxes,train,lost_lunchbox_80.png,found_lunchbox_80.png,"Square plastic lunchbox, frosted semi-transparent lid, pink oval pressure-release button centered on lid, two pink side-locking clips on left and right, two baby blue locking clips on top and bottom","Square plastic lunchbox, frosted semi-transparent lid, pink oval pressure-release button centered on lid, four pink side-locking clips on all sides"
lunchbox_081,Lunchboxes,test,lost_lunchbox_81.png,found_lunchbox_81.png,"Hot pink glossy plastic square Caperci lunchbox, smooth flat lid with ""caperci"" logo in light teal lettering, integrated pink top carry handle, teal side latch closure","Hot pink glossy plastic square Caperci lunchbox, smooth flat lid with ""caperci"" logo in light teal lettering, integrated pink top carry handle, pink side latch closure"
lunchbox_082,Lunchboxes,train,lost_lunchbox_82.png,found_lunchbox_82.png,"Mint blue and gray plastic rectangular lunchbox, oval black windowed cutlery compartment on lid with ""LUNCH BOX"" and ""CHAOZHENMEI"" text, round gray steam vent button beside it, four gray side-locking handle clips","Mint blue and gray plastic rectangular lunchbox, oval black windowed cutlery compartment on lid with ""LUNCH BOX"" and ""CHAOZHENMEI"" text, round gray steam vent button beside it, two gray side-locking handle clips"
lunchbox_083,Lunchboxes,test,lost_lunchbox_83.png,found_lunchbox_83.png,"Dark smoky translucent plastic rectangular lunchbox, large U-shaped carry handle integrated into lid, small round release button on upper lid, four taupe/mauve side-locking clips, rounded corners","Dark smoky translucent plastic rectangular lunchbox, large U-shaped carry handle integrated into lid, small round release button on upper lid, four taupe/mauve side-locking clips, sharp square corners"
lunchbox_084,Lunchboxes,val,lost_lunchbox_84.png,found_lunchbox_84.png,"Mint green plastic rectangular bento tray, no lid, three compartments — two smaller square wells on top, one wide elongated well on bottom, smooth glossy interior walls, rounded inner edges","Mint green plastic rectangular bento tray, no lid, two equal-sized compartments side by side, smooth glossy interior walls, rounded inner edges"
